2026-08-29 13:47:09 | INFO     | database | Database initialized at C:\Users\akhil\OneDrive\Desktop\Road-Damage-AI-System-2026\backend\database\road_damage.db
2026-08-29 14:03:45 | INFO     | database | Database initialized at C:\Users\akhil\OneDrive\Desktop\Road-Damage-AI-System-2026\backend\database\road_damage.db
2026-08-29 14:03:45 | INFO     | __main__ | Flask application created and configured successfully.
2026-08-29 14:03:45 | INFO     | __main__ | Starting AI Road Damage Detection System on http://0.0.0.0:5000
2026-08-29 14:03:45 | WARNING  | werkzeug |  * Debugger is active!
2026-08-29 14:03:45 | INFO     | werkzeug |  * Debugger PIN: 413-648-563
2026-08-29 14:04:05 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:04:05] "GET / HTTP/1.1" 304 -
2026-08-29 14:04:05 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:04:05] "GET /css/style.css HTTP/1.1" 304 -
2026-08-29 14:04:05 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:04:05] "GET /js/app.js HTTP/1.1" 304 -
2026-08-29 14:05:33 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\akhil\\OneDrive\\Desktop\\Road-Damage-AI-System-2026\\backend\\routes.py', reloading
2026-08-29 14:05:33 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\akhil\\OneDrive\\Desktop\\Road-Damage-AI-System-2026\\backend\\routes.py', reloading
2026-08-29 14:05:34 | INFO     | werkzeug |  * Restarting with stat
2026-08-29 14:05:34 | INFO     | werkzeug |  * Restarting with stat
2026-08-29 14:05:40 | INFO     | database | Database initialized at C:\Users\akhil\OneDrive\Desktop\Road-Damage-AI-System-2026\backend\database\road_damage.db
2026-08-29 14:05:40 | INFO     | database | Database initialized at C:\Users\akhil\OneDrive\Desktop\Road-Damage-AI-System-2026\backend\database\road_damage.db
2026-08-29 14:05:40 | INFO     | __main__ | Flask application created and configured successfully.
2026-08-29 14:05:40 | INFO     | __main__ | Starting AI Road Damage Detection System on http://0.0.0.0:5000
2026-08-29 14:05:40 | INFO     | __main__ | Flask application created and configured successfully.
2026-08-29 14:05:40 | INFO     | __main__ | Starting AI Road Damage Detection System on http://0.0.0.0:5000
2026-08-29 14:05:40 | WARNING  | werkzeug |  * Debugger is active!
2026-08-29 14:05:40 | WARNING  | werkzeug |  * Debugger is active!
2026-08-29 14:05:40 | INFO     | werkzeug |  * Debugger PIN: 413-648-563
2026-08-29 14:05:40 | INFO     | werkzeug |  * Debugger PIN: 413-648-563
2026-08-29 14:05:55 | INFO     | database | Database initialized at C:\Users\akhil\OneDrive\Desktop\Road-Damage-AI-System-2026\backend\database\road_damage.db
2026-08-29 14:05:55 | INFO     | __main__ | Flask application created and configured successfully.
2026-08-29 14:05:55 | INFO     | __main__ | Starting AI Road Damage Detection System on http://0.0.0.0:5000
2026-08-29 14:05:55 | INFO     | werkzeug | WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.50.88.154:5000
2026-08-29 14:05:55 | INFO     | werkzeug | Press CTRL+C to quit
2026-08-29 14:05:55 | INFO     | werkzeug |  * Restarting with stat
2026-08-29 14:05:58 | INFO     | database | Database initialized at C:\Users\akhil\OneDrive\Desktop\Road-Damage-AI-System-2026\backend\database\road_damage.db
2026-08-29 14:05:58 | INFO     | __main__ | Flask application created and configured successfully.
2026-08-29 14:05:58 | INFO     | __main__ | Starting AI Road Damage Detection System on http://0.0.0.0:5000
